semilla;corte;ganancia;metrica;modelo
891017;13000;56,267;56,267;Variables Gustavo
662951;9000;55,277;55,277;Variables Gustavo
662951;9500;55,437;55,437;Variables Gustavo
662951;10000;55,307;55,307;Variables Gustavo
662951;10500;56,107;56,107;Variables Gustavo
662951;11000;56,187;56,187;Variables Gustavo
662951;11500;55,417;55,417;Variables Gustavo
662951;12000;55,027;55,027;Variables Gustavo
662951;12500;54,727;54,727;Variables Gustavo
662951;13000;54,167;54,167;Variables Gustavo
746411;9000;56,127;56,127;Variables Gustavo
746411;9500;56,287;56,287;Variables Gustavo
746411;10000;56,717;56,717;Variables Gustavo
746411;10500;56,497;56,497;Variables Gustavo
746411;11000;57,367;57,367;Variables Gustavo
746411;11500;57,857;57,857;Variables Gustavo
746411;12000;57,417;57,417;Variables Gustavo
746411;12500;57,287;57,287;Variables Gustavo
746411;13000;57,007;57,007;Variables Gustavo
240677;9000;55,547;55,547;Variables Gustavo
240677;9500;55,417;55,417;Variables Gustavo
240677;10000;56,387;56,387;Variables Gustavo
240677;10500;57,177;57,177;Variables Gustavo
240677;11000;57,617;57,617;Variables Gustavo
240677;11500;58,577;58,577;Variables Gustavo
240677;12000;58,227;58,227;Variables Gustavo
240677;12500;57,117;57,117;Variables Gustavo
240677;13000;56,957;56,957;Variables Gustavo
886307;9000;57,327;57,327;Variables Gustavo
886307;9500;58,817;58,817;Variables Gustavo
886307;10000;59,197;59,197;Variables Gustavo
886307;10500;58,007;58,007;Variables Gustavo
886307;11000;58,447;58,447;Variables Gustavo
886307;11500;57,887;57,887;Variables Gustavo
886307;12000;56,857;56,857;Variables Gustavo
886307;12500;57,467;57,467;Variables Gustavo
886307;13000;56,807;56,807;Variables Gustavo
607769;9000;55,817;55,817;Variables Gustavo
607769;9500;56,467;56,467;Variables Gustavo
607769;10000;56,577;56,577;Variables Gustavo
607769;10500;57,047;57,047;Variables Gustavo
607769;11000;56,677;56,677;Variables Gustavo
607769;11500;56,977;56,977;Variables Gustavo
607769;12000;56,697;56,697;Variables Gustavo
607769;12500;56,397;56,397;Variables Gustavo
607769;13000;56,797;56,797;Variables Gustavo
105097;9000;56,447;56,447;Variables Gustavo
105097;9500;57,037;57,037;Variables Gustavo
105097;10000;57,927;57,927;Variables Gustavo
105097;10500;58,497;58,497;Variables Gustavo
105097;11000;57,747;57,747;Variables Gustavo
105097;11500;57,827;57,827;Variables Gustavo
105097;12000;56,507;56,507;Variables Gustavo
105097;12500;55,957;55,957;Variables Gustavo
105097;13000;55,197;55,197;Variables Gustavo
848087;9000;54,997;54,997;Variables Gustavo
848087;9500;57,087;57,087;Variables Gustavo
848087;10000;56,437;56,437;Variables Gustavo
848087;10500;56,997;56,997;Variables Gustavo
848087;11000;57,687;57,687;Variables Gustavo
848087;11500;56,897;56,897;Variables Gustavo
848087;12000;57,857;57,857;Variables Gustavo
848087;12500;59,307;59,307;Variables Gustavo
848087;13000;58,097;58,097;Variables Gustavo
461819;9000;55,557;55,557;Variables Gustavo
461819;9500;56,407;56,407;Variables Gustavo
461819;10000;56,447;56,447;Variables Gustavo
461819;10500;56,397;56,397;Variables Gustavo
461819;11000;56,097;56,097;Variables Gustavo
461819;11500;56,287;56,287;Variables Gustavo
461819;12000;56,867;56,867;Variables Gustavo
461819;12500;56,287;56,287;Variables Gustavo
461819;13000;56,957;56,957;Variables Gustavo
642527;9000;55,437;55,437;Variables Gustavo
642527;9500;55,897;55,897;Variables Gustavo
642527;10000;55,687;55,687;Variables Gustavo
642527;10500;55,857;55,857;Variables Gustavo
642527;11000;55,467;55,467;Variables Gustavo
642527;11500;55,427;55,427;Variables Gustavo
642527;12000;55,987;55,987;Variables Gustavo
642527;12500;54,997;54,997;Variables Gustavo
642527;13000;54,417;54,417;Variables Gustavo
169693;9000;56,217;56,217;Variables Gustavo
169693;9500;57,027;57,027;Variables Gustavo
169693;10000;56,587;56,587;Variables Gustavo
169693;10500;56,717;56,717;Variables Gustavo
169693;11000;57,117;57,117;Variables Gustavo
169693;11500;57,407;57,407;Variables Gustavo
169693;12000;56,667;56,667;Variables Gustavo
169693;12500;56,917;56,917;Variables Gustavo
169693;13000;56,647;56,647;Variables Gustavo
552193;9000;56,567;56,567;Variables Gustavo
552193;9500;55,907;55,907;Variables Gustavo
552193;10000;56,797;56,797;Variables Gustavo
552193;10500;56,537;56,537;Variables Gustavo
552193;11000;57,367;57,367;Variables Gustavo
552193;11500;56,717;56,717;Variables Gustavo
552193;12000;56,577;56,577;Variables Gustavo
552193;12500;56,227;56,227;Variables Gustavo
552193;13000;55,317;55,317;Variables Gustavo
982939;9000;56,257;56,257;Variables Gustavo
982939;9500;55,527;55,527;Variables Gustavo
982939;10000;55,477;55,477;Variables Gustavo
982939;10500;55,247;55,247;Variables Gustavo
